,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,432,,33,,,,,,,,,,,,,,,,,,,295.0,137.0,2022-12-26
1,армия,2332,24.0,123,,,,,,14.0,10.0,,,,,,1247.0,,,627.0,458.0,,,,2022-12-27
2,бизнес,17025,96.0,709,2.0,,13.0,15.0,,14.0,45.0,,7.0,,599.0,,2151.0,852.0,,932.0,2066.0,,6803.0,3622.0,2022-12-28
3,жизнь,3829,40.0,191,,,22.0,18.0,,,,,,,,,2037.0,1792.0,,,,,,,2022-12-30
4,за рубежом,19134,226.0,911,,,64.0,,,2.0,106.0,,54.0,,,,4818.0,,,499.0,2774.0,,11043.0,,2023-01-09
5,история,732,6.0,43,,,6.0,,,,,,,,,,679.0,,,33.0,20.0,,,,2022-12-27
6,ИТ,3489,23.0,166,13.0,,8.0,,,,,,2.0,,849.0,,784.0,54.0,,,,,1230.0,572.0,2022-12-29
7,космос,66,2.0,4,,,,,,,2.0,,,,,,,,,,66.0,,,,2022-12-31
8,культура,1749,14.0,87,,,,2.0,,2.0,8.0,,2.0,,,,777.0,137.0,,102.0,272.0,,461.0,,2023-01-10
9,наука,106,2.0,6,2.0,,,,,,,,,,53.0,,,50.0,,,3.0,,,,2023-01-10
10,новости,18197,225.0,827,,,8.0,9.0,185.0,,16.0,,7.0,,,,824.0,1447.0,11352.0,,1300.0,,3114.0,160.0,2022-12-27
11,новые новости,7241,10.0,279,9.0,,,,,,1.0,,,,404.0,,,,,3.0,29.0,6769.0,,36.0,2022-12-28
12,образование,6,,2,,,,,,,,,,,6.0,,,,,,,,,,2023-01-10
13,общество,13204,89.0,528,,,,14.0,,6.0,54.0,,12.0,3.0,,6.0,,1836.0,,564.0,2493.0,,3844.0,4461.0,2023-01-09
14,политика,14239,130.0,570,,,,66.0,,28.0,27.0,,1.0,8.0,,,,3725.0,,1191.0,602.0,,1306.0,7415.0,2022-12-30
15,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-28
17,производство,40,,4,,,,,,,,,,,40.0,,,,,,,,,,2022-12-29
18,развлечения,45,,5,,,,,,,,,,,45.0,,,,,,,,,,2022-12-29
19,регионы,593,12.0,25,,,,,,,12.0,,,,1.0,154.0,63.0,,,,375.0,,,,2022-12-29
20,россия,9165,90.0,482,,,58.0,19.0,,13.0,,,,,,,7546.0,1123.0,,496.0,,,,,2023-01-01
21,спорт,3628,59.0,173,,,15.0,,,35.0,6.0,,3.0,,,,1287.0,188.0,,459.0,785.0,,909.0,,2023-01-03
22,транспорт,3,,3,,,,,,,,,,,,,,,,,3.0,,,,2022-12-26
23,туризм,785,6.0,41,,,6.0,,,,,,,,,,784.0,,,,1.0,,,,2022-12-27
24,финансы,4,,1,,,,,,,,,,,4.0,,,,,,,,,,2022-12-27
