,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,543,10.0,34,,,,,,,,,10.0,,,,,,,,,,363.0,180.0,2022-12-27
1,армия,3003,128.0,131,,,68.0,,,34.0,26.0,,,,,,1613.0,,,802.0,588.0,,,,2022-12-28
2,бизнес,21241,679.0,732,46.0,,126.0,112.0,,48.0,125.0,,141.0,81.0,780.0,,2578.0,1118.0,,1120.0,2535.0,,8534.0,4576.0,2022-12-28
3,жизнь,4845,150.0,202,,,120.0,30.0,,,,,,,,,2612.0,2233.0,,,,,,,2022-12-31
4,за рубежом,25383,581.0,976,,,182.0,,,22.0,145.0,,232.0,,,,6037.0,,,628.0,3521.0,,15197.0,,2023-01-14
5,история,998,60.0,48,,,57.0,,,2.0,1.0,,,,,,929.0,,,41.0,28.0,,,,2022-12-28
6,ИТ,4612,143.0,184,34.0,,55.0,2.0,,,,,41.0,11.0,1085.0,,1004.0,72.0,,,,,1635.0,816.0,2022-12-30
7,космос,84,5.0,5,,,,,,,5.0,,,,,,,,,,84.0,,,,2022-12-31
8,космос,84,5.0,5,,,,,,,5.0,,,,,,,,,,84.0,,,,2023-01-10
9,культура,2442,85.0,98,,,38.0,10.0,,8.0,15.0,,14.0,,,,1073.0,206.0,,133.0,368.0,,662.0,,2023-01-15
10,наука,142,4.0,7,1.0,,,3.0,,,,,,,73.0,,,60.0,,,9.0,,,,2023-01-10
11,новости,23375,783.0,866,,,45.0,37.0,581.0,,62.0,,52.0,6.0,,,1069.0,1834.0,14438.0,,1772.0,,4002.0,260.0,2022-12-30
12,новые новости,9227,130.0,308,34.0,,,,,,6.0,90.0,,,560.0,,6.0,,,3.0,52.0,8570.0,,36.0,2022-12-29
13,образование,12,3.0,2,3.0,,,,,,,,,,12.0,,,,,,,,,,2023-01-11
14,общество,17119,443.0,590,,,,108.0,,34.0,124.0,,96.0,81.0,,6.0,,2345.0,,707.0,3087.0,,5289.0,5685.0,2023-01-10
15,политика,18553,570.0,640,,,,217.0,,61.0,41.0,,63.0,188.0,,,,4763.0,,1502.0,788.0,,1650.0,9850.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,55,2.0,3,2.0,,,,,,,,,,55.0,,,,,,,,,,2023-01-03
19,развлечения,49,,4,,,,,,,,,,,49.0,,,,,,,,,,2022-12-30
20,регионы,774,29.0,28,,6.0,,,,,23.0,,,,1.0,224.0,87.0,,,,462.0,,,,2022-12-30
21,россия,11471,387.0,499,,,332.0,34.0,,21.0,,,,,,,9436.0,1440.0,,595.0,,,,,2023-01-01
22,спорт,4823,107.0,186,,,53.0,3.0,,26.0,19.0,,6.0,,,,1719.0,228.0,,584.0,1007.0,,1285.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1035,43.0,45,,,43.0,,,,,,,,,,1034.0,,,,1.0,,,,2022-12-31
25,финансы,4,,1,,,,,,,,,,,4.0,,,,,,,,,,2022-12-28
